unique_id,ds,y
product_A,2023-01-01,103.97371322408986
product_A,2023-01-02,111.12135782765097
product_A,2023-01-03,120.80542698753288
product_A,2023-01-04,120.19249493802756
product_A,2023-01-05,93.61851691544994
product_A,2023-01-06,86.0029856616792
product_A,2023-01-07,103.90623028703868
product_A,2023-01-08,109.63947783322327
product_A,2023-01-09,111.97167714954082
product_A,2023-01-10,123.46439903141507
product_A,2023-01-11,107.80091454426369
product_A,2023-01-12,95.26590588467461
product_A,2023-01-13,93.31177948980093
product_A,2023-01-14,79.46628580571718
product_A,2023-01-15,93.20065733989573
product_A,2023-01-16,114.72917200309264
product_A,2023-01-17,114.52126972005196
product_A,2023-01-18,117.52223474752554
product_A,2023-01-19,95.22755130906694
product_A,2023-01-20,83.57765170659032
product_A,2023-01-21,109.99771791435198
product_A,2023-01-22,108.6937895961077
product_A,2023-01-23,123.2676978745238
product_A,2023-01-24,114.7259331930197
product_A,2023-01-25,114.15319429056191
product_A,2023-01-26,106.87912463091556
product_A,2023-01-27,89.16813269789421
product_A,2023-01-28,104.77811190974492
product_A,2023-01-29,109.19489048064955
product_A,2023-01-30,123.89392223867422
product_A,2023-01-31,124.81026578489221
product_A,2023-02-01,136.82648156283489
product_A,2023-02-02,109.38376611533317
product_A,2023-02-03,93.41439388562544
product_A,2023-02-04,111.85288705980508
product_A,2023-02-05,107.73325080023181
product_A,2023-02-06,131.39838099705847
product_A,2023-02-07,117.44655769168915
product_A,2023-02-08,114.88276769557595
product_A,2023-02-09,114.56663380018963
product_A,2023-02-10,111.28381395723594
product_A,2023-02-11,110.1434740124993
product_A,2023-02-12,120.07481374089404
product_A,2023-02-13,130.8186426723061
product_A,2023-02-14,124.79574275978796
product_A,2023-02-15,123.24950241960573
product_A,2023-02-16,112.80663374555834
product_A,2023-02-17,117.33305912702397
product_A,2023-02-18,115.02147407952722
product_A,2023-02-19,110.3956787570981
product_A,2023-02-20,139.3201439921788
product_A,2023-02-21,137.04326043939682
product_A,2023-02-22,127.09288008431564
product_A,2023-02-23,124.8851542239636
product_A,2023-02-24,120.62407749724025
product_A,2023-02-25,123.22276871590913
product_A,2023-02-26,121.28625981421887
product_A,2023-02-27,137.75377323021073
product_A,2023-02-28,146.27402613395586
product_A,2023-03-01,143.81261710374227
product_A,2023-03-02,119.65835001047442
product_A,2023-03-03,114.39080950396212
product_A,2023-03-04,110.42184797093131
product_A,2023-03-05,121.93034700735461
product_A,2023-03-06,150.22767881617403
product_A,2023-03-07,157.97383891129394
product_A,2023-03-08,138.93217511412072
product_A,2023-03-09,135.02000709637286
product_A,2023-03-10,122.26916951765371
product_A,2023-03-11,117.61156972613854
product_A,2023-03-12,137.89116484406728
product_A,2023-03-13,159.5317647687482
product_A,2023-03-14,150.33731036984773
product_A,2023-03-15,155.52540533327556
product_A,2023-03-16,109.5337830805187
product_A,2023-03-17,129.45130135227447
product_A,2023-03-18,126.9689043088849
product_A,2023-03-19,136.10794119627312
product_A,2023-03-20,151.46155844930445
product_A,2023-03-21,138.2233673659202
product_A,2023-03-22,144.7508809840633
product_A,2023-03-23,136.84864448533074
product_A,2023-03-24,138.19923367520477
product_A,2023-03-25,125.62636601679041
product_A,2023-03-26,135.53205117685445
product_A,2023-03-27,150.2134158883442
product_A,2023-03-28,164.94713562434396
product_A,2023-03-29,152.63826496404099
product_A,2023-03-30,133.25366228310054
product_A,2023-03-31,133.98222078217947
product_A,2023-04-01,134.04914815776385
product_A,2023-04-02,153.24915992426298
product_A,2023-04-03,152.11104748600158
product_A,2023-04-04,158.50262150994524
product_A,2023-04-05,150.37139086170617
product_A,2023-04-06,129.28362432817963
product_A,2023-04-07,135.74504353378927
product_A,2023-04-08,138.86096994041856
product_A,2023-04-09,149.04090765313964
product_A,2023-04-10,159.35077517001932
product_A,2023-04-11,153.30095274632407
product_A,2023-04-12,153.64309350464043
product_A,2023-04-13,141.75002778102254
product_A,2023-04-14,130.45786316349972
product_A,2023-04-15,138.9822420696516
product_A,2023-04-16,155.73240685451637
product_A,2023-04-17,179.81695944670466
product_A,2023-04-18,169.5205411853821
product_A,2023-04-19,162.56865921254553
